city,state_id,lat,lng,population
Waller,TX,30.0665,-95.9278,3337
Mountain View Acres,CA,34.4976,-117.3472,3337
Coplay,PA,40.6710,-75.4961,3336
Lake Cherokee,TX,32.3569,-94.6513,3336
Minden,NV,38.9632,-119.7683,3335
Oracle,AZ,32.6085,-110.7826,3335
Six Mile Run,NJ,40.4730,-74.5334,3334
Ellsworth,WI,44.7364,-92.4806,3334
Waldron,AR,34.9022,-94.0953,3333
Rural Hall,NC,36.2251,-80.2973,3332
Smithville-Sanders,IN,39.0597,-86.5108,3331
Welsh,LA,30.2355,-92.8135,3330
Somerville,TN,35.2352,-89.3869,3329
Moscow Mills,MO,38.9400,-90.9254,3329
Red Oak,NC,36.0415,-77.9064,3329
Jefferson,OR,44.7171,-123.0068,3329
Iowa,LA,30.2393,-93.0130,3329
Pickens,SC,34.8856,-82.7104,3326
Arbuckle,CA,39.0141,-122.0610,3325
Parker,AZ,34.0286,-114.2224,3324
Annandale,MN,45.2599,-94.1205,3323
Winnebago,IL,42.2671,-89.2340,3323
Williamsburg,IA,41.6683,-92.0103,3322
Morada,CA,38.0386,-121.2456,3320
Dalzell,SC,34.0189,-80.4297,3319
Berwyn Heights,MD,38.9928,-76.9132,3317
Golden Grove,SC,34.7324,-82.4407,3317
Lake Park,NC,35.0849,-80.6349,3317
Shady Spring,WV,37.7032,-81.0914,3317
Plymouth,NC,35.8588,-76.7487,3315
Victor,ID,43.6014,-111.1108,3315
Hominy,OK,36.4219,-96.3930,3314
Warm Beach,WA,48.1665,-122.3448,3313
Clare,MI,43.8259,-84.7630,3312
East Basin,UT,40.7359,-111.4708,3310
Jackson,MN,43.6265,-94.9891,3310
Magnolia,MS,31.1619,-90.4670,3309
Holiday Shores,IL,38.9222,-89.9360,3309
Blissfield,MI,41.8311,-83.8635,3307
Amesti,CA,36.9583,-121.7805,3307
Chenango Bridge,NY,42.1716,-75.8586,3306
Pomona,NY,41.1891,-74.0543,3306
Penrose,CO,38.4213,-105.0004,3305
Muldrow,OK,35.4040,-94.5976,3304
La Blanca,TX,26.3048,-98.0286,3304
Breñas,PR,18.4734,-66.3346,3304
Hahira,GA,30.9941,-83.3786,3302
Llano,TX,30.7509,-98.6763,3301
Emerald Lakes,PA,41.0845,-75.4154,3300
Winchester,CA,33.7146,-117.0775,3300
New Orleans Station,LA,29.8314,-90.0211,3300
West Wyomissing,PA,40.3222,-75.9950,3298
Pleasant Hill,PA,40.3369,-76.4480,3298
Grangeville,ID,45.9260,-116.1224,3296
Spencer,NC,35.6986,-80.4254,3296
Hodgenville,KY,37.5668,-85.7354,3296
Carmel-by-the-Sea,CA,36.5528,-121.9222,3296
Ridgecrest,FL,27.8923,-82.8074,3296
Blountville,TN,36.5330,-82.3290,3295
Louisiana,MO,39.4413,-91.0626,3294
Boscobel,WI,43.1437,-90.6948,3294
Pemberwick,CT,41.0225,-73.6564,3293
New York Mills,NY,43.1007,-75.2932,3293
Lake Holm,WA,47.2985,-122.1335,3293
Bullard,TX,32.1451,-95.3196,3292
Dunean,SC,34.8203,-82.4225,3292
Trafford,PA,40.3846,-79.7576,3291
Nesquehoning,PA,40.8660,-75.8322,3291
Crystal River,FL,28.8964,-82.5991,3291
Masontown,PA,39.8486,-79.9085,3290
Carlyle,IL,38.6217,-89.3734,3290
Cascade Valley,WA,47.1417,-119.3260,3290
Lake Providence,LA,32.8132,-91.1825,3288
Morganfield,KY,37.6869,-87.8878,3286
Hartville,OH,40.9618,-81.3348,3286
Chincoteague,VA,37.9593,-75.3495,3285
Bandon,OR,43.1141,-124.4158,3285
Thiensville,WI,43.2361,-87.9785,3284
South Hempstead,NY,40.6814,-73.6233,3284
Newcastle,WY,43.8510,-104.2123,3283
Mattapoisett Center,MA,41.6666,-70.8056,3282
Wayne Heights,PA,39.7455,-77.5437,3281
Point Baker,FL,30.6855,-87.0522,3280
Ely,MN,47.9054,-91.8517,3280
North Plains,OR,45.5974,-122.9948,3280
Brillion,WI,44.1758,-88.0707,3277
Palo Cedro,CA,40.5658,-122.2425,3275
Paw Paw Lake,MI,42.2113,-86.2759,3275
Aguas Buenas,PR,18.2573,-66.1061,3275
Ravena,NY,42.4755,-73.8112,3273
Marion,AL,32.6318,-87.3172,3273
Avery Creek,NC,35.4651,-82.5719,3273
East Dennis,MA,41.7392,-70.1577,3272
Karnes City,TX,28.8858,-97.9002,3271
Algona,WA,47.2820,-122.2504,3271
Johnson Creek,WI,43.0812,-88.7702,3270
Fort McKinley,OH,39.8027,-84.2460,3269
Sugar Creek,MO,39.1433,-94.3994,3268
Athens,PA,41.9515,-76.5187,3268
Lake Erie Beach,NY,42.6242,-79.0786,3266
Perkins,OK,35.9785,-97.0301,3265
Narragansett Pier,RI,41.4281,-71.4668,3265
Ossian,IN,40.8770,-85.1683,3263
West Liberty,KY,37.9161,-83.2668,3263
Gowanda,NY,42.4612,-78.9339,3263
Kaunakakai,HI,21.0905,-156.9981,3263
Hartford,SD,43.6210,-96.9424,3263
Hamburg,NJ,41.1485,-74.5736,3262
South Dennis,MA,41.7051,-70.1537,3259
Blairsville,PA,40.4326,-79.2599,3259
Petersburg,AK,56.7566,-132.8727,3259
Moosup,CT,41.7173,-71.8757,3259
Moose Lake,MN,46.4442,-92.7654,3258
Knoxville,IL,40.9070,-90.2857,3258
Lowesville,NC,35.4193,-80.9998,3258
Groveville,NJ,40.1679,-74.6523,3257
Lewes,DE,38.7776,-75.1450,3257
Sisco Heights,WA,48.1180,-122.1112,3257
Milford,IA,43.3336,-95.1478,3256
Hoosick Falls,NY,42.9009,-73.3500,3255
